X,Y,OBJECTID,BSID,LNG,LAT,X_COORD,Y_COORD,STATUS,ROUTES,STOPNAME,DIR,GPS_YEAR,GPS_DATE,DISTANCE_FROM_STREET,BETWEEN_STREET_DISTANCE,Z_ELEVATION,DISTRICT,CITY,PARCEL_ID_NUMBER,POSTAL,PID,COUNTY,LOCATION,TEAMBOUNDARY,PICTURE,SE_ANNO_CAD_DATA,CORNER,RUNBOARD,COMMENTS,ON_STREET,AT_STREET,BETWEEN_STREET,STATION_ID,HUBABBR,HUBNAME,SBOARDS,STOPNAME_BSID
-11680893.4394,4819316.6135,7925205,13574,-104.931241,39.678386,3160087.0898611,1672482.07037266,active,21,Evans Ave & S Dahlia St,E,2002,2002/03/01 00:00:00+00,77,,0,A,Denver,,80222,0,Denver,F,East,,,SE,,,E Evans Av,S Dahlia St,,,,,0,Evans Ave & S Dahlia St (Stop No. 13574)
-11680884.6716,4819338.7235,7925206,13575,-104.93116224,39.67853885,3160108.91043,1672537.88678,active,21,Evans Ave & S Dahlia St,W,2008,2008/12/01 00:00:00+00,105,,0,A,Denver,,80222,0,Denver,N,East,,,NE,,,E Evans Av,S Dahlia St,,,,,0,Evans Ave & S Dahlia St (Stop No. 13575)
-11685543.1439,4819319.2186,7925207,13577,-104.97301,39.678404,3148330.57910718,1672417.72530089,active,21,Evans Ave & S Downing St,E,2002,2002/03/01 00:00:00+00,101,,0,D,Denver,,80210,0,Denver,F,East,,,SE,,ADD SHELTER,E Evans Av,S Downing St,,,,,0,Evans Ave & S Downing St (Stop No. 13577)
-11691255.8406,4819338.4528,7925208,13581,-105.024328,39.678537,3133886.11335621,1672386.46079554,active,21,W Evans Ave & S Federal Blvd,E,2002,2002/03/01 00:00:00+00,175,,999,D,Denver,,80219,108,Denver,F,West,,,SE,,,W Evans Av,S Federal Blvd,,48,FdEv,Federal/Evans,1,W Evans Ave & S Federal Blvd (Stop No. 13581)
-11684976.1946,4819344.6731,7925209,13584,-104.967917,39.67858,3149763.70148666,1672490.18999308,active,21,Evans Ave & S Gilpin St,W,2002,2002/03/01 00:00:00+00,80,,0,D,Denver,,80210,0,Denver,F,East,,,NW,,,E Evans Av,S Gilpin St,,,,,0,Evans Ave & S Gilpin St (Stop No. 13584)
-11691008.5994,4827224.6613,7925210,10038,-105.022107,39.733039,3134406.81029028,1692242.61232648,active,"1, 9",W 10th Ave & Decatur St,W,2003,2003/05/01 00:00:00+00,75,,0,C,Denver,,80204,0,Denver,F,West,,,NW,,,W 10th Av,Decatur St,,,,,0,W 10th Ave & Decatur St (Stop No. 10038)
-11694968.4576,4827219.018,7925211,10039,-105.057679,39.733,3124402.38107941,1692177.73604204,active,9,W 10th Ave & Depew St,E,2003,2003/05/01 00:00:00+00,65,,0,M,Lakewood,49-014-02-023,80214,0,Jefferson,F,West,,,SE,,,W 10th Av,Depew St,,,,,0,W 10th Ave & Depew St (Stop No. 10039)
-11677889.7824,4821808.6952,7925212,33387,-104.90425869,39.69561359,3167640.4724,1678805.97057,active,11,Mississippi Ave & S Quebec St,E,2009,2009/03/02 00:00:00+00,150,,0,A,Denver,,80224,0,Denver,N,East,,,SW,,,E Mississippi Ave,S Quebec St,,,,,0,Mississippi Ave & S Quebec St (Stop No. 33387)
-11696530.4958,4854613.0458,7925213,21310,-105.071711,39.921987,3120131.36187228,1761002.49836505,active,128,Main St & E 3rd Ave {1104},N,2002,2002/03/01 00:00:00+00,75,,0,I,Broomfield,,80020,0,Broomfield,F,North,,,NE,,,Main St,W 3rd Av,,,,,0,Main St & E 3rd Ave {1104} (Stop No. 21310)
-11687170.0769,4814152.1888,7925214,12572,-104.987625,39.642671,3144290.38574108,1659378.34242346,active,"0L, 0",S Broadway & Oxford Ave,N,2002,2002/03/01 00:00:00+00,90,,0,H,Englewood,,80113,0,Arapahoe,F,West,,,NE,,,S Broadway,E Oxford Av,,,,,0,S Broadway & Oxford Ave (Stop No. 12572)
-11697873.7408,4861867.4266,7925215,25892,-105.08377757,39.97194673,3116663.43149,1779186.86197,active,LD,Exempla Cir & Public Rd,NW,2013,2013/08/26 00:00:00+00,135,,0,I,Lafayette,157514009004,80026,-1,Boulder,N,North,,,NE,,AUGUST 2011,Exempla Cir,Hwy 287,,,,,0,Exempla Cir & Public Rd (Stop No. 25892)
-11689208.7886,4845700.2346,7925216,15874,-105.005939,39.860556,3138701.37403307,1738717.74687596,active,"19, 92",Pecos St & W 90th Ave {1110},N,2002,2002/03/01 00:00:00+00,65,,0,J,Thornton,,80260,0,Adams,F,North,,,NE,,,Pecos St,W Dresden Av,,,,,0,Pecos St & W 90th Ave {1110} (Stop No. 15874)
-11692128.9209,4856001.8074,7925217,17258,-105.032171,39.931554,3131203.94843494,1764542.37151948,active,128,Westlake Dr & S Princess Cir {1104},E,2002,2002/03/01 00:00:00+00,75,,0,I,Broomfield,,80020,0,Broomfield,N,North,,,SW,,MVD N/S PER CHAZ-8/24/00,Westlake Dr,S Princess Cir,,,,,0,Westlake Dr & S Princess Cir {1104} (Stop No. 17258)
-11713626.501,4868143.9974,7925218,22086,-105.225287,40.015143,3076952.1666874,1794772.64434779,active,"206, FF, 208",55th St & Arapahoe Ave,N,2002,2002/03/01 00:00:00+00,90,,999,O,Boulder,,80301,150,Boulder,F,North,,,NE,,,55th St,Arapahoe Ave,,34,CoAr,Conestoga - Arapahoe,0,55th St & Arapahoe Ave (Stop No. 22086)
-11681928.2647,4818416.8586,7925219,13104,-104.940537,39.672165,3157484.55784564,1670199.80083661,active,"46, 40",S Colorado Blvd & Dickinson Pl,N,2004,2004/05/01 00:00:00+00,112,,0,A,Denver,,80222,0,Denver,F,East,http://gadget/busstops/shelterphotos/13104.jpg,,NE,,,S Colorado Blvd,E Dickinson Pl,,,,,0,S Colorado Blvd & Dickinson Pl (Stop No. 13104)
-11715223.8054,4868112.1261,7925220,33409,-105.23963581,40.01492371,3072933.04022,1794680.91754,active,JUMP,Arapahoe Ave & Foothills Pkwy Nearside,SW,2009,2009/03/05 00:00:00+00,200,,0,O,Boulder,,80301,0,Boulder,N,North,,,NW,,,Arapahoe Ave,Foothills Pkwy,,,,,0,Arapahoe Ave & Foothills Pkwy Nearside (Stop No. 33409)
-11659379.0836,4835129.2364,7925221,33448,-104.73797428,39.78762468,3214150.47284,1712671.27536,active,42,Orleans St & 51st Ave,S,2016,2016/08/11 00:00:00+00,100,,0,B,Denver,,80249,-1,Denver,F,East,,,SW,,APRIL 2016,Orleans St,51st Ave,,,,,0,Orleans St & 51st Ave (Stop No. 33448)
-11659345.3797,4834836.5429,7925222,33451,-104.73767153,39.78560423,3214241.72796,1711936.01496,active,42,Orleans St & Stoll St,S,2016,2016/08/11 00:00:00+00,185,,0,B,Denver,,80249,-1,Denver,F,East,,,SW,,APRIL 2016,Orleans St,Stoll St,,,,,0,Orleans St & Stoll St (Stop No. 33451)
-11677821.6884,4820852.068,7925223,25237,-104.903647,39.689001,3167828.40893188,1676398.42971485,active,73,S Quebec St & Florida Ave,S,2002,2002/03/01 00:00:00+00,100,,0,A,Denver,,80224,0,Denver,F,East,,,SW,,,S Quebec St,E Florida Av,,,,,0,S Quebec St & Florida Ave (Stop No. 25237)
-11702986.1347,4837193.2764,7925224,11443,-105.129703,39.801871,3104043.55955056,1717174.75951793,active,52,W 58th Ave & Simms St,W,2002,2002/03/01 00:00:00+00,125,,0,L,Arvada,ROW,80002,0,Jefferson,F,West,,,NW,,,W 58th Av,Simms St,,,,,0,W 58th Ave & Simms St (Stop No. 11443)
-11701378.5556,4826176.777,7925225,11617,-105.11526189,39.7257995,3108218.45859,1689481.12969,active,100,W 6th Ave North Frontage Rd & Miller Ct,W,2013,2013/02/04 00:00:00+00,75,,0,M,Lakewood,ROW,80215,-1,Jefferson,F,West,,,NE,,JANUARY 2013,W 6th Av Sr N,Miller Ct,,,,,0,W 6th Ave North Frontage Rd & Miller Ct (Stop No. 11617)
